Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution,,,,,,,,,,,,
NonFulfilmentJustification,Non-Fulfilment Justification,Justification for not fulfilling a process or requirement or obligation,dpv:Justification,sc,,,,,,2024-04-21,,accepted,"Beatriz Esteves, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"Beatriz Esteves, Harshvardhan J. Pandit",,,,,,,,,,,,,
IdentityVerificationFailure,Identity Verification Failure,Justification that the process could not be fulfilled or was not successful because identity verification failed,"justifications:SecurityImpaired,justifications:LegalProcessImpaired",dpv:Justification,,,,,,2024-04-21,,accepted,"Beatriz Esteves, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
ProcessRejected,Process Rejected,"Justification that the process could not be fulfilled because of one of more reasons associated with the process itself e.g. it was excessive, malicious, etc.",justifications:NonFulfilmentJustification,dpv:Justification,,,,,,2024-04-21,,accepted,"Beatriz Esteves, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
ProcessExcessive,Process Excessive,Justification that the process could not be fulfilled or was not successful because it was found to be excessive in nature,justifications:ProcessRejected,dpv:Justification,,,,,,2024-04-21,,accepted,"Beatriz Esteves, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
ProcessFrivolous,Process Frivolous,Justification that the process could not be fulfilled or was not successful because it was found to be based on frivolous reasons,justifications:ProcessRejected,dpv:Justification,,,,,,2024-04-21,,accepted,"Beatriz Esteves, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
ProcessMalicious,Process Malicious,Justification that the process could not be fulfilled or was not successful because it was found to be malicious e.g. with intent to cause disruption or harassment,justifications:ProcessRejected,dpv:Justification,,,,,,2024-04-21,,accepted,"Beatriz Esteves, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
ProcessUnfounded,Process Unfounded,Justification that the process could not be fulfilled or was not successful because it was found to be based on manifestly unfounded reasons,justifications:ProcessRejected,dpv:Justification,,,,,,2024-04-21,,accepted,"Beatriz Esteves, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
LegalProcessImpaired,Legal Process Impaired,Justification that the process could not be fulfilled as it impairs or interferes with a legal or official process or procedure,justifications:NonFulfilmentJustification,dpv:Justification,,,,,,2024-04-21,,accepted,"Beatriz Esteves, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
EntityAlreadyInformed,Entity Already Informed,Justification that the process could not be fulfilled or was not successful because the entity already has the information,justifications:DisproportionateEffortRequired,dpv:Justification,,,,,,2024-04-21,,accepted,"Beatriz Esteves, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
DisproportionateEffortRequired,Disproportionate Effort Required,Justification that the process could not be fulfilled or was not successful because it requires a disproportionate effort,justifications:NonFulfilmentJustification,dpv:Justification,,,,,,2024-04-21,,accepted,"Beatriz Esteves, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
ObjectivesImpaired,Objectives Impaired,Justification that the process could not be fulfilled or was not successful because it impairs the objectives of associated context,justifications:NonFulfilmentJustification,dpv:Justification,,,,,,2024-04-21,,accepted,"Beatriz Esteves, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
FulfilmentImpossible,Fulfilment Impossible,Justification that the process could not be fulfilled or was not successful because it is impossible to fulfil,justifications:NonFulfilmentJustification,dpv:Justification,,,,,,2024-04-21,,accepted,"Beatriz Esteves, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
LegallyExempted,Legally Exempted,Justification that the process could not be fulfilled or was not successful because it falls under legal exemption i.e. a law allows the non-fulfilment,justifications:LegalProcessImpaired,dpv:Justification,,,,,,2024-04-21,,accepted,"Beatriz Esteves, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
ConfidentialityObligationCompromised,Confidentiality Obligation Compromised,Justification that the process could not be fulfilled or was not successful because it would compromise a confidentiality obligation,justifications:LegalProcessImpaired,dpv:Justification,,,,,,2024-04-21,,accepted,"Beatriz Esteves, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
FreedomOfExpressionImpaired,Freedom Of Expression Impaired,Justification that the process could not be fulfilled or was not successful because it would interfere with the right of freedom of expression and information of others,justifications:LegalProcessImpaired,dpv:Justification,,,,,,2024-04-21,,accepted,"Beatriz Esteves, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
PublicInterestCompromised,Public Interest Compromised,Justification that the process could not be fulfilled or was not successful because it would interfere with necessary tasks carried out for public interest,justifications:LegalProcessImpaired,dpv:Justification,,,,,,2024-04-21,,accepted,"Beatriz Esteves, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
OfficialAuthorityExerciseImpaired,Official Authority Exercise Impaired,Justification that the process could not be fulfilled or was not successful because it would interfere with the exercise of official authorities,justifications:LegalProcessImpaired,dpv:Justification,,,,,,2024-04-21,,accepted,"Beatriz Esteves, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
PublicHealthCompromised,Public Health Compromised,Justification that the process could not be fulfilled or was not successful because it would interfere with necessary tasks carried out for public health reasons,justifications:LegalProcessImpaired,dpv:Justification,,,,,,2024-04-21,,accepted,"Beatriz Esteves, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
PublicInterestArchivingImpaired,Public Interest Archiving Impaired,Justification that the process could not be fulfilled or was not successful because it impairs archiving for public interest,justifications:LegalProcessImpaired,dpv:Justification,,,,,,2024-04-21,,accepted,"Beatriz Esteves, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
ScientificHistoricalResearchImpaired,Scientific Historical Research Impaired,Justification that the process could not be fulfilled or was not successful because it impairs scientific or historical research,justifications:NonFulfilmentJustification,dpv:Justification,,,,,,2024-04-21,,accepted,"Beatriz Esteves, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
OfficialStatisticsImpaired,Official Statistics Impaired,Justification that the process could not be fulfilled or was not successful because it would interfere with official statistics,justifications:LegalProcessImpaired,dpv:Justification,,,,,,2024-04-21,,accepted,"Beatriz Esteves, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
LegalClaimImpaired,Legal Claim Impaired,"Justification that the process could not be fulfilled or was not successful because it would impair the establishment, exercise, or defence of a legal claim",justifications:LegalProcessImpaired,dpv:Justification,,,,,,2024-12-17,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
LegalClaimEstablishmentImpaired,Legal Claim Establishment Impaired,Justification that the process could not be fulfilled or was not successful because it would interfere with the establishment of legal claims,justifications:LegalClaimImpaired,dpv:Justification,,,,,,2024-04-21,2024-12-17,modified,"Beatriz Esteves, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
LegalClaimExerciseImpaired,Legal Claim Exercise Impaired,Justification that the process could not be fulfilled or was not successful because it would interfere with the exercise of legal claims,justifications:LegalClaimImpaired,dpv:Justification,,,,,,2024-04-21,2024-12-17,modified,"Beatriz Esteves, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,
