"term","type","iri","label","definition","dpvtype","subclassof","hasbroader","scopenote","created","modified","vocab","namespace"
"AIDeployer","class","https://w3id.org/dpv/legal/eu/aiact#AIDeployer","AI Deployer","A natural or legal person, public authority, agency or other body using an AI system under its authority except where the AI system is used in the course of a personal non-professional activity","","https://w3id.org/dpv/legal/eu/aiact#AIOperator;https://w3id.org/dpv/tech#Deployer","https://w3id.org/dpv/legal/eu/aiact#AIOperator;https://w3id.org/dpv/tech#Deployer","","2024-04-10","2025-07-30","eu-aiact","https://w3id.org/dpv/legal/eu/aiact"
"AIDistributor","class","https://w3id.org/dpv/legal/eu/aiact#AIDistributor","AI Distributor","A natural or legal person in the supply chain, other than the provider or the importer, that makes an AI system available on the Union market","","https://w3id.org/dpv/legal/eu/aiact#AIOperator;https://w3id.org/dpv/tech#Distributor","https://w3id.org/dpv/legal/eu/aiact#AIOperator;https://w3id.org/dpv/tech#Distributor","","2024-04-10","","eu-aiact","https://w3id.org/dpv/legal/eu/aiact"
"AIImporter","class","https://w3id.org/dpv/legal/eu/aiact#AIImporter","AI Importer","A natural or legal person located or established in the Union that places on the market an AI system that bears the name or trademark of a natural or legal person established in a third country","","https://w3id.org/dpv/legal/eu/aiact#AIOperator;https://w3id.org/dpv/tech#Importer","https://w3id.org/dpv/legal/eu/aiact#AIOperator;https://w3id.org/dpv/tech#Importer","","2024-04-10","2025-07-30","eu-aiact","https://w3id.org/dpv/legal/eu/aiact"
"AIOffice","class","https://w3id.org/dpv/legal/eu/aiact#AIOffice","Artificial Intelligence Office","the Commission’s function of contributing to the implementation, monitoring and supervision of AI systems and general-purpose AI models, and AI governance, provided for in Commission Decision of 24 January 2024; references in the AI Act to the AI Office shall be construed as references to the Commission","","https://w3id.org/dpv#Authority","https://w3id.org/dpv#Authority","","2024-04-10","2027-07-30","eu-aiact","https://w3id.org/dpv/legal/eu/aiact"
"AIOperator","class","https://w3id.org/dpv/legal/eu/aiact#AIOperator","AI Operator","A provider, product manufacturer, deployer, authorised representative, importer or distributor","","https://w3id.org/dpv/tech#Operator","https://w3id.org/dpv/tech#Operator","","2024-04-10","2025-07-30","eu-aiact","https://w3id.org/dpv/legal/eu/aiact"
"AIProductManufacturer","class","https://w3id.org/dpv/legal/eu/aiact#AIProductManufacturer","AI Product Manufacturer","Entity that manufactures an AI Product","","https://w3id.org/dpv/legal/eu/aiact#AIOperator;https://w3id.org/dpv/tech#Manufacturer","https://w3id.org/dpv/legal/eu/aiact#AIOperator;https://w3id.org/dpv/tech#Manufacturer","","2024-04-10","2027-07-30","eu-aiact","https://w3id.org/dpv/legal/eu/aiact"
"AIProvider","class","https://w3id.org/dpv/legal/eu/aiact#AIProvider","AI Provider","A natural or legal person, public authority, agency or other body that develops an AI system or a general-purpose AI model or that has an AI system or a general-purpose AI model developed and places it on the market or puts the AI system into service under its own name or trademark, whether for payment or free of charge","","https://w3id.org/dpv/legal/eu/aiact#AIOperator;https://w3id.org/dpv/tech#Provider","https://w3id.org/dpv/legal/eu/aiact#AIOperator;https://w3id.org/dpv/tech#Provider","","2024-04-10","2025-07-30","eu-aiact","https://w3id.org/dpv/legal/eu/aiact"
"AuthorisedRepresentative","class","https://w3id.org/dpv/legal/eu/aiact#AuthorisedRepresentative","Authorised Representative","A natural or legal person located or established in the Union who has received and accepted a written mandate from a provider of an AI system or a general-purpose AI model to, respectively, perform and carry out on its behalf the obligations and procedures established by the AI Act","","https://w3id.org/dpv#Representative;https://w3id.org/dpv/legal/eu/aiact#AIOperator","https://w3id.org/dpv#Representative;https://w3id.org/dpv/legal/eu/aiact#AIOperator","","2024-04-10","","eu-aiact","https://w3id.org/dpv/legal/eu/aiact"
"ConformityAssessmentBody","class","https://w3id.org/dpv/legal/eu/aiact#ConformityAssessmentBody","Conformity Assessment Body","A body that performs third-party conformity assessment activities, including testing, certification and inspection","","https://w3id.org/dpv/tech#Auditor","https://w3id.org/dpv/tech#Auditor","","2024-04-10","","eu-aiact","https://w3id.org/dpv/legal/eu/aiact"
"DownstreamAIProvider","class","https://w3id.org/dpv/legal/eu/aiact#DownstreamAIProvider","Downstream AI Provider","A provider of an AI system, including a general-purpose AI system, which integrates an AI model, regardless of whether the AI model is provided by themselves and vertically integrated or provided by another entity based on contractual relations.","","https://w3id.org/dpv/legal/eu/aiact#AIProvider","https://w3id.org/dpv/legal/eu/aiact#AIProvider","","2024-04-10","2025-07-30","eu-aiact","https://w3id.org/dpv/legal/eu/aiact"
